,P_degree
1455,84
1456,81
1457,40
1458,66
1459,63
1460,65
1461,119
1462,99
1463,119
1464,106
1465,98
1466,88
1467,87
1468,57
1469,96
1470,79
1471,63
1472,45
1473,53
1474,38
1475,63
1476,91
1477,43
1478,33
1479,67
1480,66
1481,74
1482,45
1483,45
1484,48
1485,58
1486,84
1487,73
1488,16
1489,110
1490,88
1491,124
1492,76
1493,40
1494,73
1495,64
1496,56
1497,93
1498,65
1499,106
1500,96
1501,45
1502,84
1503,2
1504,120
1505,64
1506,77
1507,73
1508,66
1509,78
1510,122
1511,34
1512,91
1513,92
1514,63
1515,43
1516,80
1517,35
1518,50
1519,91
1520,70
1521,118
1522,71
1523,60
1524,102
1525,80
1526,53
1527,30
1528,37
1529,40
1530,72
1531,72
1532,59
1533,29
1534,69
1535,71
1536,37
1537,60
1538,62
1539,61
1540,38
1541,90
1542,92
1543,155
1544,61
1545,46
1546,51
1547,74
1548,74
1549,82
1550,51
1551,99
1552,99
1553,55
1554,45
1555,65
1556,71
1557,110
1558,51
1559,77
1560,42
1561,20
1562,60
1563,78
1564,39
1565,18
1566,76
1567,61
1568,50
1569,62
1570,96
1571,67
1572,25
1573,19
1574,65
1575,69
1576,70
1577,85
1578,130
1579,65
1580,117
1581,84
1582,82
1583,11
1584,76
1585,41
1586,73
1587,66
1588,114
1589,56
1590,71
1591,84
1592,77
1593,88
1594,43
1595,37
1596,68
1597,27
1598,100
1599,71
1600,55
1601,46
1602,96
1603,31
1604,75
1605,39
1606,97
1607,70
1608,57
1609,72
1610,69
1611,91
1612,50
1613,42
1614,62
1615,61
1616,62
1617,49
1618,99
1619,20
1620,69
1621,70
1622,53
1623,54
1624,41
1625,59
1626,69
1627,17
1628,20
1629,70
1630,51
1631,62
1632,67
1633,47
1634,67
1635,113
1636,47
1637,82
1638,35
1639,36
1640,85
1641,81
1642,62
1643,43
1644,89
1645,63
1646,29
1647,29
1648,83
1649,81
1650,47
1651,89
1652,90
1653,68
1654,48
1655,91
1656,91
1657,89
1658,104
1659,35
1660,73
1661,60
1662,90
